Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2712;Konstanz;WRTR;15.08.2003-11:00;15.08.2003-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;25.09.2003-02:00;25.09.2003-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;28.09.2003-11:00;28.09.2003-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;01.10.2003-14:00;01.10.2003-15:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.11.2003-18:00;14.11.2003-19:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;24.11.2003-02:00;24.11.2003-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;09.12.2003-20:00;09.12.2003-21:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;20.12.2003-11:00;20.12.2003-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;04.01.2004-11:00;04.01.2004-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.01.2004-21:00;08.01.2004-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.01.2004-12:00;14.01.2004-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;02.02.2004-02:00;02.02.2004-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;03.02.2004-11:00;03.02.2004-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.02.2004-11:00;08.02.2004-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;15.02.2004-03:00;15.02.2004-04:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;25.02.2004-03:00;25.02.2004-04:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;02.03.2004-14:00;02.03.2004-15:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;10.03.2004-21:00;10.03.2004-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;13.03.2004-14:00;13.03.2004-15:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.04.2004-09:00;14.04.2004-10:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;05.06.2004-20:00;05.06.2004-21:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;06.08.2004-02:00;06.08.2004-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;05.09.2004-09:00;05.09.2004-10:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;17.09.2004-15:00;17.09.2004-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;18.09.2004-12:00;18.09.2004-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.10.2004-09:00;08.10.2004-10:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;30.10.2004-11:00;30.10.2004-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;01.11.2004-02:00;01.11.2004-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;01.11.2004-23:00;02.11.2004-00:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;25.01.2005-08:00;25.01.2005-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;10.02.2005-00:00;10.02.2005-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;07.03.2005-02:00;07.03.2005-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;11.04.2005-11:00;11.04.2005-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;12.04.2005-09:00;12.04.2005-10:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;27.04.2005-21:00;27.04.2005-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.06.2005-20:00;08.06.2005-21:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;11.10.2005-21:00;11.10.2005-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;21.10.2005-12:00;21.10.2005-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;18.11.2005-08:00;18.11.2005-12:00;4;;eor;                                                                                                                                            
2712;Konstanz;WRTR;23.01.2006-17:00;23.01.2006-18:00;1;;eor;                                                                                                                                            
